,timestamp,open,high,low,close,volume
0,2021-02-25,20.86,23.0,20.82,22.23,1929278
1,2021-01-29,21.61,21.8,20.52,20.78,2341255
2,2020-12-31,20.65,21.75,20.19,21.69,2530487
3,2020-11-30,18.12,20.7,17.93,20.6,2416248
4,2020-10-30,18.59,19.4999,17.75,17.93,2921461
5,2020-09-30,19.63,20.0,17.6,18.45,3593405
6,2020-08-31,18.33,19.66,18.2297,19.65,2408228
7,2020-07-31,17.67,18.37,17.52,18.18,2811267
8,2020-06-30,17.2,18.05,16.86,17.61,3193300
9,2020-05-29,15.81,17.35,15.33,17.3,3644704
10,2020-04-30,12.99,16.05,12.7,15.98,5340164
11,2020-03-31,15.81,17.11,10.67,13.87,8565137
12,2020-02-28,18.3,18.97,15.37,15.76,3080594
13,2020-01-31,17.88,18.6,17.51,18.26,2159612
14,2019-12-31,17.45,18.06,16.97,17.83,2081350
15,2019-11-29,17.16,17.61,17.0,17.44,1923237
16,2019-10-31,16.66,17.14,16.27,17.12,2160494
17,2019-09-30,16.46,17.19,16.43,16.65,1884963
18,2019-08-30,17.43,17.7,16.21,16.46,3262232
19,2019-07-31,17.15,17.6,16.9,17.41,2075758
20,2019-06-28,15.91,17.2,15.7,16.99,2390382
21,2019-05-31,17.02,17.08,15.86,15.9,2546583
22,2019-04-30,16.52,17.16,16.52,16.99,2140920
23,2019-03-29,17.1,17.25,16.08,16.47,2677036
24,2019-02-28,16.49,17.17,16.28,17.01,3031334
25,2019-01-31,14.56,16.68,14.44,16.44,3836396
26,2018-12-31,16.25,16.44,12.91,14.67,5052958
27,2018-11-30,15.67,16.8,14.75,15.95,3103071
28,2018-10-31,17.78,17.8,15.22,15.66,4073611
29,2018-09-28,17.88,17.88,17.35,17.66,2155231
30,2018-08-31,17.26,17.95,17.26,17.9,2528113
31,2018-07-31,16.8,17.78,16.75,17.25,2570338
32,2018-06-29,17.51,17.7,16.74,16.83,3056298
33,2018-05-31,16.48,17.72,16.2,17.5,2936637
34,2018-04-30,15.84,16.66,15.32,16.51,2613793
35,2018-03-29,15.94,16.85,15.5,15.76,2571666
36,2018-02-28,16.08,16.33,14.42,15.98,3246286
37,2018-01-31,15.25,16.46,15.25,16.15,2520137
38,2017-12-29,15.15,15.37,14.87,15.22,1940476
39,2017-11-30,15.14,15.2,14.54,15.14,2228914
40,2017-10-31,15.0,15.38,14.89,15.08,2269912
41,2017-09-29,15.15,15.1899,14.82,14.96,2413178
42,2017-08-31,15.09,15.27,14.41,15.1,2987646
43,2017-07-31,14.6,15.17,14.4596,15.03,2301656
44,2017-06-30,14.59,14.97,14.47,14.53,3043500
45,2017-05-31,14.2,14.6799,14.13,14.55,2564053
46,2017-04-28,13.54,14.16,13.44,14.16,2378343
47,2017-03-31,13.7,13.78,13.29,13.51,2770962
48,2017-02-28,13.35,13.65,13.34,13.59,2383760
49,2017-01-31,12.87,13.4,12.76,13.31,2620549
50,2016-12-30,12.98,13.24,12.76,12.8,3142175
51,2016-11-30,13.33,13.47,12.79,13.02,2677889
52,2016-10-31,13.78,13.85,13.26,13.36,2787031
53,2016-09-30,13.44,13.86,13.25,13.76,2534429
54,2016-08-31,13.39,13.5999,13.17,13.47,3197081
55,2016-07-29,12.83,13.43,12.67,13.36,2378203
56,2016-06-30,13.03,13.2701,12.49,12.85,2468945
57,2016-05-31,12.92,13.1,12.67,13.07,1928885
58,2016-04-29,12.91,13.2499,12.78,12.85,2078477
59,2016-03-31,12.4,13.01,12.35,12.95,2358146
60,2016-02-29,12.2,12.5,11.18,12.3,2662451
61,2016-01-29,13.32,13.5699,11.09,12.3,4215508
62,2015-12-31,13.58,13.79,13.08,13.64,3324760
63,2015-11-30,13.44,13.67,13.16,13.54,2421064
64,2015-10-30,12.64,13.59,12.44,13.4,3004352
65,2015-09-30,12.98,13.3755,12.47,12.64,2418458
66,2015-08-31,14.33,14.44,11.13,13.2,3068735
67,2015-07-31,14.04,14.48,13.73,14.34,2505888
68,2015-06-30,14.27,14.31,13.77,13.89,2670969
69,2015-05-29,14.14,14.478,14.02,14.28,2009921
70,2015-04-30,14.22,14.48,14.0,14.08,2134002
71,2015-03-31,14.23,14.47,14.0,14.21,2636016
72,2015-02-27,13.35,14.33,13.28,14.24,2035131
73,2015-01-30,13.86,13.9096,13.18,13.34,2438331
74,2014-12-31,14.11,14.15,13.37,13.83,2804541
75,2014-11-28,13.94,14.22,13.84,14.18,2067524
76,2014-10-31,13.65,13.95,12.02,13.92,4351526
77,2014-09-30,13.9,14.16,13.61,13.61,2621220
