,timestamp,open,high,low,close,volume
0,2021-02-25,23.94,26.35,23.15,25.11,5862429
1,2021-01-29,20.24,26.04,19.84,23.65,6528373
2,2020-12-31,18.5,20.66,18.31,20.21,5545229
3,2020-11-30,16.2,18.9,15.964,18.27,4695907
4,2020-10-30,13.54,18.65,13.52,16.05,7212980
5,2020-09-30,14.26,15.53,13.48,13.54,7796493
6,2020-08-31,11.95,15.07,11.79,14.24,10080306
7,2020-07-31,11.9,12.59,10.69,11.84,5781245
8,2020-06-30,11.22,14.16,10.67,11.83,7727281
9,2020-05-29,11.0,12.71,9.08,11.3,9811508
10,2020-04-30,9.79,12.03,8.38,11.31,6861537
11,2020-03-31,13.27,13.69,9.3,10.22,8534190
12,2020-02-28,16.15,16.45,13.0,13.2,6624019
13,2020-01-31,19.12,19.18,16.1,16.15,5895082
14,2019-12-31,17.94,19.2,17.16,19.06,4567963
15,2019-11-29,19.75,20.76,17.1,17.88,4668806
16,2019-10-31,19.18,19.96,17.94,19.71,4140967
17,2019-09-30,17.09,19.63,16.63,19.1,4793287
18,2019-08-30,19.65,20.54,16.9,17.2,6936300
19,2019-07-31,21.21,21.65,20.26,20.58,5052219
20,2019-06-28,21.2,21.73,20.05,21.06,5544758
21,2019-05-31,22.29,23.11,21.07,21.22,6061750
22,2019-04-30,19.21,22.94,18.94,22.1,5311484
23,2019-03-29,20.24,20.43,18.44,19.13,5522194
24,2019-02-28,19.09,20.71,18.31,20.08,5016449
25,2019-01-31,17.38,19.84,16.9,18.98,8031918
26,2018-12-31,20.99,21.19,17.15,17.59,6241819
27,2018-11-30,19.01,21.065,18.53,20.78,7802259
28,2018-10-31,20.79,21.33,18.71,19.14,9132621
29,2018-09-28,22.2,23.1,20.45,20.75,4786616
30,2018-08-31,22.45,23.75,21.7,22.25,4824153
31,2018-07-31,24.3,25.55,21.8,22.5,4181629
32,2018-06-29,23.55,25.15,23.4,24.5,4784120
33,2018-05-31,22.0,24.95,21.75,23.45,5239625
34,2018-04-30,22.8,23.5,21.5,22.05,6515529
35,2018-03-29,23.75,24.95,22.15,22.95,4905564
36,2018-02-28,24.75,25.55,23.5,23.75,6354170
37,2018-01-31,28.75,29.4,24.45,24.85,7955605
38,2017-12-29,29.45,30.1,27.45,28.6,4704927
39,2017-11-30,30.05,30.1,26.45,29.4,7865442
40,2017-10-31,32.3,32.9,27.65,29.75,6753739
41,2017-09-29,29.25,32.6,29.25,32.4,4918607
42,2017-08-31,32.1,32.8,27.35,29.25,7212322
