,timestamp,open,high,low,close,volume
0,2021-02-25,9.15,19.0,8.2,13.55,230255
1,2021-01-29,9.0,13.99,7.65,9.16,168705
2,2020-12-31,8.35,9.85,7.2,9.0,126256
3,2020-11-30,9.25,10.55,6.1,8.35,69479
4,2020-10-30,5.45,9.45,4.95,7.55,59384
5,2020-09-30,6.0,6.8,4.85,5.55,65179
6,2020-08-31,4.62,20.0,4.4,6.0,160442
7,2020-07-31,5.39,5.8,4.09,5.2,49019
8,2020-06-30,5.75,5.79,4.0101,5.35,40327
9,2020-05-29,4.75,5.98,4.18,5.58,23844
10,2020-04-30,3.25,5.95,2.07,4.25,46904
11,2020-03-31,5.4,5.75,2.0,3.04,30345
12,2020-02-28,4.67,5.58,4.65,5.15,17465
13,2020-01-31,4.75,5.95,4.05,4.99,28021
14,2019-12-31,5.75,7.4,4.0,4.75,91931
15,2019-11-29,3.31,5.99,3.31,5.5,46067
16,2019-10-31,4.4,4.41,3.16,3.5,53584
17,2019-09-30,2.2,8.6,2.2,4.4,307708
18,2019-08-30,1.95,2.1,1.95,2.1,5448
19,2019-07-31,2.32,2.32,1.73,1.95,29328
20,2019-06-28,1.925,2.19,1.65,2.19,7612
21,2019-05-31,2.0,2.05,1.8,1.86,20302
22,2019-04-29,1.92,2.175,1.65,2.0,20376
23,2019-03-28,1.99,2.2,1.87,1.87,10802
24,2019-02-28,2.0,3.47,1.76,2.0,437196
25,2019-01-31,2.1,2.5125,1.62,1.974,77339
26,2018-12-31,3.35,3.8,1.95,2.1,52972
27,2018-11-30,3.62,3.93,3.13,3.13,9897
28,2018-10-31,4.02,4.5,3.43,3.62,27280
29,2018-09-28,3.9813,5.3496,3.812,4.02,87507
30,2018-08-31,4.03,4.3447,3.45,3.9813,114527
31,2018-07-31,3.26,4.84,2.5,4.09,954030
32,2018-06-29,4.2145,5.11,2.502,3.25,453406
33,2018-05-31,5.13,6.2,4.1,4.2,213808
34,2018-04-30,5.4201,7.0,5.1232,5.1254,150971
35,2018-03-29,5.51,6.2,5.25,5.66,96367
36,2018-02-28,5.1,6.05,5.1,5.511,131890
37,2018-01-31,5.2,7.0,5.12,5.251,129291
38,2017-12-29,5.9398,5.9999,4.89,5.22,68320
39,2017-11-30,7.12,7.4,5.87,5.87,4968
40,2017-10-31,6.87,8.0,6.4,7.0,17835
41,2017-09-29,7.15,9.0,5.87,6.87,22129
42,2017-08-31,8.7,8.73,7.01,7.15,15549
43,2017-07-31,8.75,9.5,8.0,8.71,23670
44,2017-06-30,8.94,9.85,8.0,8.0,15256
45,2017-05-31,7.5,9.5,7.1,8.94,24340
46,2017-04-28,9.0,9.0,7.61,8.1,9885
47,2017-03-31,9.28,10.29,8.14,9.0,15393
48,2017-02-28,7.0,9.95,7.0,9.28,44285
49,2017-01-31,7.01,7.5,7.01,7.1,7975
50,2016-12-30,8.25,8.4999,6.75,7.0171,30340
51,2016-11-30,9.97,9.99,7.4,8.0,4315
52,2016-10-31,10.315,10.3301,9.49,9.97,17827
53,2016-09-30,10.8405,10.88,10.0,10.3,24381
54,2016-08-31,11.3,11.6499,10.5001,10.7044,6090
55,2016-07-29,11.005,12.3,10.5065,11.3,56030
56,2016-06-30,10.6,13.1,10.28,11.78,247026
57,2016-05-31,8.25,11.0,8.0,10.1,8791
58,2016-04-29,8.9,8.9,7.0,8.25,6071
59,2016-03-31,7.75,8.95,7.4,8.9,6525
60,2016-02-29,7.21,8.25,7.0,7.75,5698
61,2016-01-29,7.14,7.5,7.0,7.0,4564
62,2015-12-31,8.25,8.5,7.06,7.14,10481
63,2015-11-30,7.8,8.5,7.8,8.25,9607
64,2015-10-30,9.0,10.0,7.8,7.8,15651
65,2015-09-30,8.0,9.4,7.5,9.0,13341
66,2015-08-31,7.5,8.04,7.2,8.0,21018
67,2015-07-31,8.55,9.0,7.5,7.5,24456
68,2015-06-30,7.5,9.16,7.5,8.4,8650
69,2015-05-29,8.6,8.6,6.0,7.5,17243
70,2015-04-30,9.0,9.0,7.0,8.6,11555
71,2015-03-31,10.0,10.6,7.5,9.0,29802
72,2015-02-27,14.75,18.0,8.0,10.0,12381
73,2015-01-30,16.5,16.6,13.15,14.75,18109
74,2014-12-31,8.5,16.5,8.25,16.5,121993
75,2014-11-28,8.5,9.0,7.5,8.0,20200
76,2014-10-31,9.0,9.5,8.5,8.5,5575
77,2014-09-30,10.0,10.0,8.25,9.0,127958
78,2014-08-29,7.99,10.0,7.5,10.0,106471
79,2014-07-31,8.1,8.1,7.5,7.99,4030
80,2014-06-30,8.99,11.0,7.5,8.1,52582
81,2014-05-30,18.0,25.0,7.0,8.0,16748
82,2014-04-30,15.0,20.0,15.0,17.4175,17171
83,2014-03-31,10.02,15.0,10.0,14.0,19503
84,2014-02-28,10.0,10.02,10.0,10.02,556
85,2014-01-31,7.5,15.0,7.5,10.0,10799
86,2013-12-31,7.5,10.0,7.5,7.5,1711
87,2013-11-29,10.0,10.0,7.5,7.5,11780
88,2013-10-31,11.25,15.0,10.0,10.0,13501
89,2013-09-30,10.5,11.5,8.5,11.25,4040
90,2013-08-30,11.0,11.5,10.5,10.5,2948
91,2013-07-31,13.5,13.5,11.0,11.0,2218
92,2013-06-28,13.0,14.28,12.5,13.5,6135
93,2013-05-31,12.38,12.5,9.0,12.5,42287
94,2013-04-30,13.4,14.25,11.05,12.38,6590
95,2013-03-28,14.0,14.1,13.2,13.4,11191
96,2013-02-28,11.5,15.21,11.5,14.0,2550
97,2013-01-31,9.0,11.5,8.5,11.5,26675
98,2012-12-31,9.0,10.0,8.0,9.0,6946
99,2012-11-30,10.0,10.5,8.7,8.7,9970
100,2012-10-31,9.5,10.0,9.5,10.0,3519
101,2012-09-28,9.0,10.5,8.75,9.5,15139
102,2012-08-31,8.0,8.4,7.0,8.4,5120
103,2012-07-31,9.5,9.505,8.0,8.0,19455
104,2012-06-29,11.75,11.75,9.5,9.5,8340
105,2012-05-31,8.6,12.0,8.0,11.75,5931
106,2012-04-30,7.5,8.6,7.5,8.6,2561
107,2012-03-30,6.1,7.5,6.1,7.5,8107
108,2012-02-29,22.29,22.29,6.7,6.7,1656
109,2012-01-31,22.29,22.29,22.29,22.29,0
110,2011-12-30,22.29,22.29,22.29,22.29,0
111,2011-11-30,22.29,22.29,22.29,22.29,0
112,2011-10-31,22.29,22.29,22.29,22.29,0
113,2011-09-30,22.29,22.29,22.29,22.29,0
114,2011-08-31,22.29,22.29,22.29,22.29,0
115,2011-07-29,22.29,22.29,22.29,22.29,0
116,2011-06-30,22.29,22.29,22.29,22.29,0
117,2011-05-31,22.29,22.29,22.29,22.29,0
118,2011-04-29,22.29,22.29,22.29,22.29,0
119,2011-03-31,22.29,22.29,22.29,22.29,0
120,2011-02-28,22.29,22.29,22.29,22.29,0
121,2011-01-31,22.29,22.29,22.29,22.29,0
122,2010-12-31,22.29,22.29,22.29,22.29,0
