,timestamp,open,high,low,close,volume
0,2021-02-25,53.56,61.57,49.53,50.86,14097522
1,2021-01-29,54.08,57.9066,48.8801,53.02,24824438
2,2020-12-31,47.83,57.07,46.2501,53.84,14199650
3,2020-11-30,39.89,47.94,37.74,47.58,12151659
4,2020-10-30,36.85,44.58,35.74,39.23,14217899
5,2020-09-30,39.2,39.45,34.18,36.89,15105878
6,2020-08-31,38.5,41.03,37.02,38.95,12715169
7,2020-07-31,30.91,38.74,30.79,38.23,19115896
8,2020-06-30,26.63,31.21,25.19,30.98,25549112
9,2020-05-29,26.78,29.1,25.321,26.69,21495477
10,2020-04-30,26.55,31.419,24.05,27.34,21921021
11,2020-03-31,28.44,31.5,20.47,27.61,25676217
12,2020-02-28,32.44,34.965,23.92,28.33,16582484
13,2020-01-31,29.55,34.44,27.8101,32.23,17986533
14,2019-12-31,25.92,30.0,25.23,29.25,16236627
15,2019-11-29,23.01,26.48,21.72,25.81,11392831
16,2019-10-31,19.23,23.51,18.52,22.93,15945019
17,2019-09-30,24.93,25.32,18.8,19.12,20897379
18,2019-08-30,24.46,26.89,23.54,24.98,17332960
19,2019-07-31,22.85,24.73,22.0,24.37,15630026
20,2019-06-28,21.79,24.84,21.01,21.94,20564039
21,2019-05-31,21.06,23.85,20.38,21.71,25554834
22,2019-04-30,21.1,22.17,18.9,20.83,14761301
23,2019-03-29,19.67,20.53,18.0,20.46,17064256
24,2019-02-28,16.68,19.69,16.04,19.6,17101945
25,2019-01-31,12.49,16.92,12.04,16.62,47412986
26,2018-12-31,16.7,17.02,11.05,12.61,27033088
27,2018-11-30,18.55,19.04,15.4,16.4,17003846
28,2018-10-31,15.51,18.88,12.75,18.44,16103049
29,2018-09-28,13.82,15.49,13.05,15.35,8994869
30,2018-08-31,13.96,15.0,11.87,13.85,18696719
31,2018-07-31,13.07,14.61,11.99,14.0,10576325
32,2018-06-29,11.65,14.18,11.63,13.11,11439640
33,2018-05-31,9.67,11.9,9.49,11.6,11506374
34,2018-04-30,8.16,9.89,7.71,9.58,5442496
35,2018-03-29,8.37,8.81,7.98,8.16,5593283
36,2018-02-28,7.7,9.33,7.08,8.4,9259391
37,2018-01-31,8.83,8.935,7.28,7.72,8873311
38,2017-12-29,9.23,9.34,8.61,8.86,6371302
39,2017-11-30,8.66,9.49,8.37,9.24,5643031
40,2017-10-31,11.19,11.47,7.82,8.67,10912136
41,2017-09-29,10.08,11.63,9.55,11.13,9594602
42,2017-08-31,9.62,10.2,9.0,10.11,5414444
43,2017-07-31,8.97,9.5,8.62,9.45,5820084
44,2017-06-30,7.57,9.22,7.5,8.96,8024460
45,2017-05-31,7.54,7.88,7.12,7.56,7919541
46,2017-04-28,7.88,8.69,7.2,7.55,8779082
47,2017-03-31,8.12,8.36,7.5,7.89,6722787
48,2017-02-28,8.1,8.34,7.64,8.07,5689581
49,2017-01-31,8.58,9.06,7.71,8.06,4674182
50,2016-12-30,9.0,9.879,8.51,8.57,5938982
51,2016-11-30,8.05,9.6,7.64,8.94,6808738
52,2016-10-31,8.17,8.6,6.9,8.06,8202211
53,2016-09-30,8.0,8.4,7.79,8.22,4624771
54,2016-08-31,8.73,8.79,7.786,8.04,6557204
55,2016-07-29,8.04,9.54,8.0,8.72,9343272
56,2016-06-30,9.02,9.17,7.68,8.04,11564599
57,2016-05-31,8.23,9.1,7.77,8.97,12547871
58,2016-04-29,6.69,8.33,6.5599,8.14,7087882
59,2016-03-31,6.71,7.41,6.15,6.74,7879894
60,2016-02-29,6.73,6.945,5.49,6.37,4547787
61,2016-01-29,7.82,7.995,6.57,6.82,5905954
62,2015-12-31,8.0,8.48,7.14,7.87,6315501
63,2015-11-30,7.3,8.3,7.3,7.97,10379800
64,2015-10-30,5.71,7.29,5.532,7.05,11273633
65,2015-09-30,6.01,7.22,5.5,5.73,6334545
66,2015-08-31,6.1,6.467,5.26,6.08,5778352
67,2015-07-31,5.45,6.85,5.05,6.11,12089438
68,2015-06-30,5.31,5.9,5.3,5.41,12820669
69,2015-05-29,4.56,5.45,4.55,5.33,3827680
70,2015-04-30,4.69,5.25,4.14,4.53,4058041
71,2015-03-31,4.51,5.04,4.43,4.67,3982369
72,2015-02-27,4.03,4.83,3.88,4.54,3520176
73,2015-01-30,4.1,4.35,3.33,4.03,6159779
74,2014-12-31,4.2,4.58,3.96,4.17,4617656
75,2014-11-28,5.59,5.59,4.01,4.24,6174628
76,2014-10-31,5.17,5.81,4.31,5.65,5759878
77,2014-09-30,5.31,6.1,5.01,5.21,7033330
78,2014-08-29,5.17,5.54,4.69,5.33,8624700
79,2014-07-31,3.36,5.7699,3.34,5.18,20964800
80,2014-06-30,3.38,3.651,3.01,3.32,9112100
81,2014-05-30,3.29,3.7,2.98,3.39,3309900
82,2014-04-30,3.53,3.802,2.95,3.31,4648700
83,2014-03-31,3.5,3.81,3.26,3.47,3131600
